"Color Name";"Color Number";"Hex";"RGB"
"James";"AC-23";"#87999F";"rgb(135, 153, 159)"
"Charlotte";"AC-24";"#677A80";"rgb(103, 122, 128)"
"Harbor";"AC-25";"#C8C8C3";"rgb(200, 200, 195)"
"Ozark";"AC-26";"#B7B5AD";"rgb(183, 181, 173)"
"Galveston";"AC-27";"#9A968D";"rgb(154, 150, 141)"
"Smoke";"AC-28";"#C2C0BB";"rgb(194, 192, 187)"
"San";"AC-29";"#B5B3AF";"rgb(181, 179, 175)"
"Winter";"AC-30";"#A39E97";"rgb(163, 158, 151)"
"Hot";"AC-31";"#CABFB0";"rgb(202, 191, 176)"
"Pismo";"AC-32";"#B8AB9B";"rgb(184, 171, 155)"
"Mesa";"AC-33";"#A08F7D";"rgb(160, 143, 125)"
"Cape";"AC-34";"#BFB9AF";"rgb(191, 185, 175)"
"Valley";"AC-35";"#B7B0A4";"rgb(183, 176, 164)"
"Shenandoah";"AC-36";"#A69B8E";"rgb(166, 155, 142)"
"Big";"AC-37";"#D3C9BE";"rgb(211, 201, 190)"
"North";"AC-38";"#C4B9AF";"rgb(196, 185, 175)"
"Mt.";"AC-39";"#AA9B8E";"rgb(170, 155, 142)"
"Glacier";"AC-40";"#EDEBE1";"rgb(237, 235, 225)"
"AC-adia";"AC-41";"#F3F0E0";"rgb(243, 240, 224)"
"Grand";"AC-42";"#EAE6D1";"rgb(234, 230, 209)"
"Pink";"001";"#FFD6CC";"rgb(255, 214, 204)"
"Newborn";"002";"#FFC2B7";"rgb(255, 194, 183)"
"Pink";"003";"#FDB1A4";"rgb(253, 177, 164)"
"Pink";"004";"#F99686";"rgb(249, 150, 134)"
"Tucson";"005";"#F4806C";"rgb(244, 128, 108)"
"Picante";"006";"#EB6E5B";"rgb(235, 110, 91)"
"Piñata";"007";"#E2513D";"rgb(226, 81, 61)"
"Pale";"008";"#F8D8CD";"rgb(248, 216, 205)"
"Blushing";"009";"#F9CAC1";"rgb(249, 202, 193)"
"Pink";"010";"#FCBFB3";"rgb(252, 191, 179)"
"Paradise";"011";"#F8A393";"rgb(248, 163, 147)"
"Coral";"012";"#F08D7E";"rgb(240, 141, 126)"
"Fan";"013";"#EE7C6D";"rgb(238, 124, 109)"
"Soft";"014";"#DD634E";"rgb(221, 99, 78)"
"Soft";"015";"#F8DCD0";"rgb(248, 220, 208)"
"Bermuda";"016";"#FFD7CB";"rgb(255, 215, 203)"
"Phoenix";"017";"#FAC5B4";"rgb(250, 197, 180)"
"Monticello";"018";"#F6A58D";"rgb(246, 165, 141)"
"Salmon";"019";"#F29479";"rgb(242, 148, 121)"
"Fresno";"020";"#F07B60";"rgb(240, 123, 96)"
"Jupiter";"021";"#E36E4B";"rgb(227, 110, 75)"
"Peach";"022";"#F8E5D5";"rgb(248, 229, 213)"
"Heirloom";"023";"#F6D9C8";"rgb(246, 217, 200)"
"Coral";"024";"#F8C9B8";"rgb(248, 201, 184)"
"Vivid";"025";"#F2B8A5";"rgb(242, 184, 165)"
"Coral";"026";"#E89F84";"rgb(232, 159, 132)"
"San";"027";"#D98568";"rgb(217, 133, 104)"
"Rich";"028";"#CF6D53";"rgb(207, 109, 83)"
"Fruited";"029";"#F8DCD2";"rgb(248, 220, 210)"
"August";"030";"#EFC3B8";"rgb(239, 195, 184)"
"Georgia";"031";"#EAAA9B";"rgb(234, 170, 155)"
"Coral";"032";"#E1917D";"rgb(225, 145, 125)"
"Golden";"033";"#D47965";"rgb(212, 121, 101)"
"Spiced";"034";"#B76150";"rgb(183, 97, 80)"
"Baked";"035";"#9F5646";"rgb(159, 86, 70)"
"Orchid";"036";"#F1D4CA";"rgb(241, 212, 202)"
"Rose";"037";"#EACAC2";"rgb(234, 202, 194)"
"Rosetta";"038";"#DFB5AB";"rgb(223, 181, 171)"
"Sharon";"039";"#D79C8F";"rgb(215, 156, 143)"
"Peaches";"040";"#CC8675";"rgb(204, 134, 117)"
"Spoonful";"041";"#B36C59";"rgb(179, 108, 89)"
"Burnt";"042";"#894E46";"rgb(137, 78, 70)"
"East";"043";"#F2D6CC";"rgb(242, 214, 204)"
"Frosted";"044";"#EDC9BF";"rgb(237, 201, 191)"
"Romantica";"045";"#E8BAAD";"rgb(232, 186, 173)"
"Salmon";"046";"#DBA593";"rgb(219, 165, 147)"
"Savannah";"047";"#C28674";"rgb(194, 134, 116)"
"Southwest";"048";"#986058";"rgb(152, 96, 88)"
"Twilight";"049";"#88554C";"rgb(136, 85, 76)"
"Pink";"050";"#F3DBCD";"rgb(243, 219, 205)"
"Precocious";"051";"#EFCFC2";"rgb(239, 207, 194)"
"Conch";"052";"#E7BEAD";"rgb(231, 190, 173)"
"Crazy";"053";"#E3B6A6";"rgb(227, 182, 166)"
"Farmer's";"054";"#D99F88";"rgb(217, 159, 136)"
"Pumpkin";"055";"#D28D6D";"rgb(210, 141, 109)"
"Montana";"056";"#B96E53";"rgb(185, 110, 83)"
"Orange";"057";"#F7E4D0";"rgb(247, 228, 208)"
"Pumpkin";"058";"#F8D6C2";"rgb(248, 214, 194)"
